Timestamp,Gesture,Sensor1,Sensor2,Sensor3,Sensor4
2025-04-03 22:14:07,gesture2,906,930,782,749
2025-04-03 22:14:07,gesture2,907,928,783,748
2025-04-03 22:14:07,gesture2,907,930,771,750
2025-04-03 22:14:07,gesture2,907,930,773,748
2025-04-03 22:14:07,gesture2,907,930,782,750
2025-04-03 22:14:07,gesture2,906,930,785,751
2025-04-03 22:14:07,gesture2,908,930,785,751
2025-04-03 22:14:07,gesture2,910,931,785,753
2025-04-03 22:14:07,gesture2,912,929,783,750
2025-04-03 22:14:07,gesture2,910,926,792,753
2025-04-03 22:14:07,gesture2,911,932,793,755
2025-04-03 22:14:07,gesture2,913,934,792,756
2025-04-03 22:14:07,gesture2,912,930,787,756
2025-04-03 22:14:08,gesture2,909,932,791,756
2025-04-03 22:14:08,gesture2,912,929,788,756
2025-04-03 22:14:08,gesture2,909,929,789,755
2025-04-03 22:14:08,gesture2,915,933,796,764
2025-04-03 22:14:08,gesture2,916,935,800,765
2025-04-03 22:14:08,gesture2,919,939,809,778
2025-04-03 22:14:08,gesture2,917,934,797,767
2025-04-03 22:14:08,gesture2,913,933,796,764
2025-04-03 22:14:08,gesture2,914,933,797,762
2025-04-03 22:14:08,gesture2,916,935,800,762
2025-04-03 22:14:08,gesture2,916,931,803,764
2025-04-03 22:14:08,gesture2,918,932,799,765
2025-04-03 22:14:08,gesture2,917,932,800,767
2025-04-03 22:14:08,gesture2,917,934,800,767
2025-04-03 22:14:08,gesture2,916,932,801,770
2025-04-03 22:14:08,gesture2,918,934,802,773
2025-04-03 22:14:08,gesture2,918,932,803,776
2025-04-03 22:14:08,gesture2,917,932,806,779
2025-04-03 22:14:08,gesture2,919,933,805,781
2025-04-03 22:14:09,gesture2,919,933,816,797
2025-04-03 22:14:09,gesture2,920,935,812,795
2025-04-03 22:14:09,gesture2,918,932,810,793
2025-04-03 22:14:09,gesture2,919,928,808,788
2025-04-03 22:14:09,gesture2,918,933,812,783
2025-04-03 22:14:09,gesture2,919,933,812,787
2025-04-03 22:14:09,gesture2,918,932,810,783
2025-04-03 22:14:09,gesture2,917,933,810,783
2025-04-03 22:14:09,gesture2,917,932,811,788
2025-04-03 22:14:09,gesture2,918,936,805,786
2025-04-03 22:14:09,gesture2,916,936,809,784
2025-04-03 22:14:09,gesture2,918,934,809,784
2025-04-03 22:14:09,gesture2,916,934,810,784
2025-04-03 22:14:09,gesture2,919,935,809,783
2025-04-03 22:14:09,gesture2,917,935,810,784
2025-04-03 22:14:09,gesture2,917,935,810,783
2025-04-03 22:14:09,gesture2,916,938,809,786
2025-04-03 22:14:09,gesture2,918,936,812,786
2025-04-03 22:14:09,gesture2,917,934,815,785
2025-04-03 22:14:09,gesture2,919,935,814,786
2025-04-03 22:14:10,gesture2,917,935,814,789
2025-04-03 22:14:10,gesture2,916,935,812,786
2025-04-03 22:14:10,gesture2,916,934,813,785
2025-04-03 22:14:10,gesture2,917,934,812,784
