Timestamp,Gesture,Sensor1,Sensor2,Sensor3,Sensor4
2025-04-03 18:00:39,gesture8,933,400,529,710
2025-04-03 18:00:39,gesture8,931,402,528,708
2025-04-03 18:00:39,gesture8,934,404,528,711
2025-04-03 18:00:39,gesture8,928,404,529,710
2025-04-03 18:00:39,gesture8,929,406,527,698
2025-04-03 18:00:39,gesture8,930,406,530,702
2025-04-03 18:00:39,gesture8,928,404,530,709
2025-04-03 18:00:39,gesture8,930,405,528,708
2025-04-03 18:00:39,gesture8,931,408,528,708
2025-04-03 18:00:39,gesture8,929,408,527,707
2025-04-03 18:00:39,gesture8,930,409,527,707
2025-04-03 18:00:39,gesture8,931,406,527,703
2025-04-03 18:00:39,gesture8,930,403,526,703
2025-04-03 18:00:39,gesture8,932,405,526,703
2025-04-03 18:00:40,gesture8,933,400,525,701
2025-04-03 18:00:40,gesture8,936,398,524,702
2025-04-03 18:00:40,gesture8,937,392,525,701
2025-04-03 18:00:40,gesture8,939,396,526,701
2025-04-03 18:00:40,gesture8,940,393,528,701
2025-04-03 18:00:40,gesture8,937,391,528,703
2025-04-03 18:00:40,gesture8,936,391,529,707
2025-04-03 18:00:40,gesture8,938,394,527,709
2025-04-03 18:00:40,gesture8,937,397,526,709
2025-04-03 18:00:40,gesture8,940,398,528,707
2025-04-03 18:00:40,gesture8,942,400,529,702
2025-04-03 18:00:40,gesture8,937,399,529,701
2025-04-03 18:00:40,gesture8,936,398,527,702
2025-04-03 18:00:40,gesture8,940,399,529,703
2025-04-03 18:00:40,gesture8,944,399,529,702
2025-04-03 18:00:40,gesture8,940,401,530,702
2025-04-03 18:00:40,gesture8,940,396,531,702
2025-04-03 18:00:40,gesture8,938,394,531,705
2025-04-03 18:00:40,gesture8,942,395,531,699
2025-04-03 18:00:40,gesture8,939,393,532,709
2025-04-03 18:00:40,gesture8,939,392,531,711
2025-04-03 18:00:41,gesture8,938,393,532,703
2025-04-03 18:00:41,gesture8,937,390,530,703
2025-04-03 18:00:41,gesture8,938,389,531,702
2025-04-03 18:00:41,gesture8,937,387,534,703
2025-04-03 18:00:41,gesture8,937,388,531,701
2025-04-03 18:00:41,gesture8,938,389,530,706
2025-04-03 18:00:41,gesture8,936,389,530,708
2025-04-03 18:00:41,gesture8,937,389,530,707
2025-04-03 18:00:41,gesture8,935,388,531,706
2025-04-03 18:00:41,gesture8,937,389,531,708
2025-04-03 18:00:41,gesture8,939,390,529,705
2025-04-03 18:00:41,gesture8,938,391,529,709
2025-04-03 18:00:41,gesture8,936,390,531,703
2025-04-03 18:00:41,gesture8,936,394,529,704
2025-04-03 18:00:41,gesture8,937,393,533,721
2025-04-03 18:00:41,gesture8,967,390,539,730
2025-04-03 18:00:42,gesture8,966,393,543,727
2025-04-03 18:00:42,gesture8,965,395,541,724
2025-04-03 18:00:42,gesture8,965,392,542,717
2025-04-03 18:00:42,gesture8,947,392,539,715
2025-04-03 18:00:42,gesture8,944,395,543,714
2025-04-03 18:00:42,gesture8,941,393,536,719
2025-04-03 18:00:42,gesture8,942,394,532,716
2025-04-03 18:00:42,gesture8,942,396,528,721
2025-04-03 18:00:42,gesture8,946,396,532,722
2025-04-03 18:00:42,gesture8,948,398,532,723
2025-04-03 18:00:42,gesture8,948,395,536,721
2025-04-03 18:00:42,gesture8,948,395,535,722
2025-04-03 18:00:42,gesture8,946,392,531,718
2025-04-03 18:00:42,gesture8,945,391,531,719
2025-04-03 18:00:42,gesture8,947,391,531,719
2025-04-03 18:00:42,gesture8,946,389,528,720
2025-04-03 18:00:42,gesture8,947,388,530,721
2025-04-03 18:00:42,gesture8,945,388,535,721
2025-04-03 18:00:42,gesture8,947,389,533,721
2025-04-03 18:00:43,gesture8,947,393,533,721
2025-04-03 18:00:43,gesture8,946,393,536,720
2025-04-03 18:00:43,gesture8,946,391,536,721
2025-04-03 18:00:43,gesture8,942,390,539,721
2025-04-03 18:00:43,gesture8,942,385,535,722
2025-04-03 18:00:43,gesture8,945,385,535,717
2025-04-03 18:00:43,gesture8,946,389,534,717
2025-04-03 18:00:43,gesture8,943,386,534,714
2025-04-03 18:00:43,gesture8,947,388,532,714
2025-04-03 18:00:43,gesture8,946,388,532,709
2025-04-03 18:00:43,gesture8,943,389,534,708
2025-04-03 18:00:43,gesture8,944,390,535,711
2025-04-03 18:00:43,gesture8,945,390,532,714
2025-04-03 18:00:43,gesture8,944,390,536,711
2025-04-03 18:00:43,gesture8,945,391,536,710
2025-04-03 18:00:43,gesture8,945,393,538,709
2025-04-03 18:00:43,gesture8,944,392,536,710
2025-04-03 18:00:43,gesture8,946,390,538,710
2025-04-03 18:00:43,gesture8,947,391,536,712
2025-04-03 18:00:44,gesture8,944,393,539,715
2025-04-03 18:00:44,gesture8,944,391,538,716
2025-04-03 18:00:44,gesture8,943,391,538,717
2025-04-03 18:00:44,gesture8,943,391,538,717
2025-04-03 18:00:44,gesture8,943,392,538,717
2025-04-03 18:00:44,gesture8,947,392,538,718
2025-04-03 18:00:44,gesture8,945,393,538,717
2025-04-03 18:00:44,gesture8,946,394,537,712
2025-04-03 18:00:44,gesture8,945,394,535,718
2025-04-03 18:00:44,gesture8,948,394,533,713
2025-04-03 18:00:44,gesture8,945,395,533,715
2025-04-03 18:00:44,gesture8,947,397,531,719
2025-04-03 18:00:44,gesture8,947,395,531,719
2025-04-03 18:00:44,gesture8,944,404,531,721
2025-04-03 18:00:44,gesture8,946,415,526,727
2025-04-03 18:00:44,gesture8,945,417,527,721
2025-04-03 18:00:44,gesture8,945,399,526,722
2025-04-03 18:00:44,gesture8,945,398,527,721
2025-04-03 18:00:44,gesture8,946,397,526,722
2025-04-03 18:00:45,gesture8,946,400,526,723
2025-04-03 18:00:45,gesture8,947,399,526,722
2025-04-03 18:00:45,gesture8,950,401,526,723
2025-04-03 18:00:45,gesture8,966,401,526,721
2025-04-03 18:00:45,gesture8,968,401,524,728
2025-04-03 18:00:45,gesture8,969,400,524,726
2025-04-03 18:00:45,gesture8,948,401,525,726
2025-04-03 18:00:45,gesture8,949,402,523,726
2025-04-03 18:00:45,gesture8,944,402,528,723
2025-04-03 18:00:45,gesture8,946,400,524,721
2025-04-03 18:00:45,gesture8,946,399,528,723
2025-04-03 18:00:45,gesture8,947,403,526,725
2025-04-03 18:00:45,gesture8,968,402,528,725
2025-04-03 18:00:45,gesture8,943,404,529,723
2025-04-03 18:00:45,gesture8,944,404,524,724
2025-04-03 18:00:45,gesture8,969,404,521,722
2025-04-03 18:00:45,gesture8,950,399,521,718
2025-04-03 18:00:45,gesture8,948,399,517,726
2025-04-03 18:00:46,gesture8,967,403,519,726
2025-04-03 18:00:46,gesture8,948,402,519,726
2025-04-03 18:00:46,gesture8,948,402,520,724
2025-04-03 18:00:46,gesture8,946,405,520,725
2025-04-03 18:00:46,gesture8,965,403,520,725
2025-04-03 18:00:46,gesture8,968,406,523,723
2025-04-03 18:00:46,gesture8,965,403,524,722
2025-04-03 18:00:46,gesture8,944,401,523,723
2025-04-03 18:00:46,gesture8,943,402,525,724
2025-04-03 18:00:46,gesture8,940,398,524,727
2025-04-03 18:00:46,gesture8,943,394,526,724
2025-04-03 18:00:46,gesture8,968,392,525,718
2025-04-03 18:00:46,gesture8,948,392,526,719
2025-04-03 18:00:46,gesture8,947,389,524,724
2025-04-03 18:00:46,gesture8,940,391,522,721
2025-04-03 18:00:46,gesture8,943,390,520,724
2025-04-03 18:00:46,gesture8,941,389,519,721
2025-04-03 18:00:46,gesture8,940,389,519,720
2025-04-03 18:00:46,gesture8,941,388,519,720
2025-04-03 18:00:47,gesture8,943,387,519,717
2025-04-03 18:00:47,gesture8,947,386,520,720
2025-04-03 18:00:47,gesture8,946,386,519,720
2025-04-03 18:00:47,gesture8,942,387,517,720
2025-04-03 18:00:47,gesture8,943,387,517,720
2025-04-03 18:00:47,gesture8,939,388,518,718
2025-04-03 18:00:47,gesture8,939,387,518,718
2025-04-03 18:00:47,gesture8,939,387,517,720
2025-04-03 18:00:47,gesture8,936,387,516,718
2025-04-03 18:00:47,gesture8,938,387,517,717
2025-04-03 18:00:47,gesture8,963,387,518,716
2025-04-03 18:00:47,gesture8,939,387,517,714
2025-04-03 18:00:47,gesture8,965,386,518,716
2025-04-03 18:00:47,gesture8,941,386,517,718
2025-04-03 18:00:47,gesture8,941,383,523,717
2025-04-03 18:00:47,gesture8,942,387,518,716
2025-04-03 18:00:47,gesture8,940,386,518,715
2025-04-03 18:00:47,gesture8,936,386,513,711
2025-04-03 18:00:47,gesture8,937,386,512,714
2025-04-03 18:00:48,gesture8,938,384,513,713
2025-04-03 18:00:48,gesture8,940,384,514,710
2025-04-03 18:00:48,gesture8,940,383,514,709
2025-04-03 18:00:48,gesture8,937,383,516,711
2025-04-03 18:00:48,gesture8,941,383,515,709
2025-04-03 18:00:48,gesture8,939,384,514,713
2025-04-03 18:00:48,gesture8,935,383,514,713
2025-04-03 18:00:48,gesture8,938,383,514,714
2025-04-03 18:00:48,gesture8,937,382,517,717
2025-04-03 18:00:48,gesture8,938,384,517,713
2025-04-03 18:00:48,gesture8,936,383,517,711
2025-04-03 18:00:48,gesture8,937,386,517,713
2025-04-03 18:00:48,gesture8,937,387,518,712
2025-04-03 18:00:48,gesture8,942,389,515,713
2025-04-03 18:00:48,gesture8,940,388,517,713
2025-04-03 18:00:49,gesture8,937,387,516,715
2025-04-03 18:00:49,gesture8,949,382,517,716
2025-04-03 18:00:49,gesture8,944,381,516,712
2025-04-03 18:00:49,gesture8,944,381,517,723
2025-04-03 18:00:49,gesture8,945,381,517,719
2025-04-03 18:00:49,gesture8,944,381,517,720
2025-04-03 18:00:49,gesture8,942,379,515,718
2025-04-03 18:00:49,gesture8,939,375,516,722
2025-04-03 18:00:49,gesture8,945,385,517,722
2025-04-03 18:00:49,gesture8,942,384,513,713
2025-04-03 18:00:49,gesture8,944,381,513,716
2025-04-03 18:00:49,gesture8,936,380,513,709
2025-04-03 18:00:49,gesture8,937,379,513,713
2025-04-03 18:00:49,gesture8,937,379,512,715
2025-04-03 18:00:49,gesture8,937,379,513,715
2025-04-03 18:00:49,gesture8,935,379,512,710
2025-04-03 18:00:49,gesture8,937,381,512,718
2025-04-03 18:00:49,gesture8,936,383,512,721
2025-04-03 18:00:50,gesture8,937,388,512,718
2025-04-03 18:00:50,gesture8,934,382,510,715
2025-04-03 18:00:50,gesture8,931,381,509,707
2025-04-03 18:00:50,gesture8,933,389,509,717
2025-04-03 18:00:50,gesture8,930,389,509,711
2025-04-03 18:00:50,gesture8,931,396,510,712
2025-04-03 18:00:50,gesture8,932,396,508,711
2025-04-03 18:00:50,gesture8,929,389,510,712
2025-04-03 18:00:50,gesture8,930,391,510,712
2025-04-03 18:00:50,gesture8,930,396,509,711
2025-04-03 18:00:50,gesture8,931,401,510,712
2025-04-03 18:00:50,gesture8,931,394,508,709
2025-04-03 18:00:50,gesture8,930,394,508,710
2025-04-03 18:00:50,gesture8,931,395,509,711
2025-04-03 18:00:50,gesture8,929,396,507,711
2025-04-03 18:00:50,gesture8,934,392,512,709
2025-04-03 18:00:50,gesture8,933,406,522,709
2025-04-03 18:00:50,gesture8,928,402,517,710
2025-04-03 18:00:50,gesture8,927,393,508,710
2025-04-03 18:00:51,gesture8,926,388,508,707
2025-04-03 18:00:51,gesture8,927,396,509,707
2025-04-03 18:00:51,gesture8,926,392,508,711
2025-04-03 18:00:51,gesture8,928,392,506,707
2025-04-03 18:00:51,gesture8,931,391,510,706
2025-04-03 18:00:51,gesture8,928,391,510,706
2025-04-03 18:00:51,gesture8,929,402,509,704
2025-04-03 18:00:51,gesture8,932,401,510,701
2025-04-03 18:00:51,gesture8,932,394,511,699
2025-04-03 18:00:51,gesture8,932,391,510,689
2025-04-03 18:00:51,gesture8,931,370,507,680
2025-04-03 18:00:51,gesture8,930,371,508,681
2025-04-03 18:00:51,gesture8,930,370,510,690
2025-04-03 18:00:51,gesture8,931,370,490,693
2025-04-03 18:00:51,gesture8,931,370,497,694
2025-04-03 18:00:51,gesture8,931,370,493,695
2025-04-03 18:00:51,gesture8,930,369,499,696
2025-04-03 18:00:51,gesture8,931,372,498,697
2025-04-03 18:00:51,gesture8,930,372,497,697
2025-04-03 18:00:51,gesture8,930,372,504,697
2025-04-03 18:00:52,gesture8,930,373,528,699
2025-04-03 18:00:52,gesture8,930,370,530,698
2025-04-03 18:00:52,gesture8,932,367,527,696
2025-04-03 18:00:52,gesture8,935,370,522,698
2025-04-03 18:00:52,gesture8,931,371,523,697
2025-04-03 18:00:52,gesture8,931,372,525,691
2025-04-03 18:00:52,gesture8,930,371,527,691
2025-04-03 18:00:52,gesture8,931,371,527,690
2025-04-03 18:00:52,gesture8,929,369,525,692
2025-04-03 18:00:52,gesture8,928,368,525,691
2025-04-03 18:00:52,gesture8,930,370,524,690
